RK,Country,Name,Age,Pos,GP,G,A,P,PIM,PM,PPG,SHG,GWG,G_GP,A_GP,P_GP,Year,Gold,Silver,Bronze,No_medal
15,SK,Mario Grman,21,D,5,0,1,1,2,2,0,0,0,0,0.2,0.2,2018,0,0,0,1
16,SK,Dominik Granak,34,D,7,0,0,0,2,-2,0,0,0,0,0,0,2018,0,0,0,1
17,SK,Tomas Marcinko,30,F,7,0,0,0,6,-4,0,0,0,0,0,0,2018,0,0,0,1
18,SK,Lukas Cingel,25,F,7,0,0,0,0,-2,0,0,0,0,0,0,2018,0,0,0,1
19,SK,Adam Janosik,25,D,7,0,0,0,0,-2,0,0,0,0,0,0,2018,0,0,0,1
20,SK,Andrej Kudrna,26,F,5,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,1
21,SK,Marek Ciliak,28,G,5,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
22,SK,Patrik Rybar,24,G,3,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
23,SK,Juraj Mikus,31,F,2,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,1
24,SK,Pavol Skalicky,22,F,2,0,0,0,0,-1,0,0,0,0,0,0,2018,0,0,0,1
1,KR,Brock Radunske,35,F,7,1,1,2,12,-7,1,0,0,0.143,0.143,0.286,2018,0,0,0,1
2,KR,Jin Hui Ahn,27,F,7,1,1,2,2,-11,1,0,0,0.143,0.143,0.286,2018,0,0,0,1
3,KR,Sang-Wook Kim,30,F,7,0,2,2,10,-6,0,0,0,0,0.286,0.286,2018,0,0,0,1
4,KR,Michael Swift,31,F,7,1,0,1,10,-9,0,0,0,0.143,0,0.143,2018,0,0,0,1
5,KR,Ki Sung Kim,32,F,7,1,0,1,4,-6,0,0,0,0.143,0,0.143,2018,0,0,0,1
6,KR,Won-Jun Kim,27,D,7,0,1,1,0,-11,,,,0,0.143,0.143,2018,0,0,0,1
7,KR,Won-Jung Kim,33,F,7,0,1,1,0,-11,0,0,0,0,0.143,0.143,2018,0,0,0,1
8,KR,Alex Plante,28,D,7,0,0,0,10,-8,0,0,0,0,0,0,2018,0,0,0,1
9,KR,Matt Dalton,31,G,7,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
10,KR,Eric Regan,29,D,7,0,0,0,2,-8,0,0,0,0,0,0,2018,0,0,0,1
11,KR,Don Ku Lee,30,D,7,0,0,0,2,-10,0,0,0,0,0,0,2018,0,0,0,1
